local;cod;quant;dicofre
União das freguesias de Salvaterra de Magos e Foros de Salvaterra;185141508;30;141508
Odiáxere;150080704;30;080704
Loulé (São Sebastião);150080809;30;080809
União das freguesias de Portela e Extremo;111160160;29;160160
União das freguesias de Távora (Santa Maria e São Vicente);111160163;29;160163
Montaria;111160920;29;160920
Canaveses;11B171206;29;171206
Valpaços e Sanfins;11B171236;29;171236
Marco;11C130736;29;130736
Penela da Beira;11D181207;29;181207
Quintela;11D181814;29;181814
Picote;11E040611;29;040611
Ferreira-a-Nova;16E060521;29;060521
Lourosa;16E061109;29;061109
União das freguesias de Parceiros e Azoia;16F100937;29;100937
União das freguesias de Mação, Penhascoso e Aboboreira;16I141309;29;141309
Benespera;16J090709;29;090709
Vila Boa;16J091138;29;091138
União das freguesias de Montijo e Afonsoeiro;170150710;29;150710
União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);170151210;29;151210
Rio Frio;111160130;28;160130
União das freguesias de Grade e Carralcova;111160156;28;160156
União das freguesias de Parada do Monte e Cubalhão;111160321;28;160321
Friastelas;111160724;28;160724
União das freguesias de Valença, Cristelo Covo e Arão;111160820;28;160820
Aboim da Nóbrega e Gondomar;112031359;28;031359
Faiões;11B170313;28;170313
Real;11C010606;28;010606
Castedo;11D040906;28;040906
Olmos;11E040523;28;040523
Saldanha;11E040815;28;040815
Benlhevai;11E041002;28;041002
Santa Maria, São Pedro e Sobral da Lagoa;16B101210;28;101210
Avelãs de Cima;16D010305;28;010305
Cernache;16E060312;28;060312
Miranda do Corvo;16E060902;28;060902
Amor;16F100901;28;100901
União das freguesias de Marrazes e Barosa;16F100934;28;100934
Pelariga;16F101508;28;101508
Vermoil;16F101513;28;101513
Beijós;16G180201;28;180201
Real;16G181110;28;181110
Tonda;16G182122;28;182122
Coutos de Viseu;16G182337;28;182337
Casal Vasco;16J090502;28;090502
Jarmelo São Miguel;16J090759;28;090759
Sobral da Serra;16J090744;28;090744
União das freguesias de Igreja Nova e Cheleiros;170110920;28;110920
União das freguesias de São João da Ribeira e Ribeira de São João;185141418;28;141418
União das freguesias de Cossourado e Linhares;111160523;27;160523
União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;111160628;27;160628
União das freguesias de Nogueira, Meixedo e Vilar de Murteda;111160945;27;160945
Maia;11A1306;27;1A1306
Paredes;11A131025;27;131025
União das freguesias de Sandim, Olival, Lever e Crestuma;11A131729;27;131729
Tronco;11B170340;27;170340
Vales;11B171227;27;171227
Ervedosa do Douro;11D181502;27;181502
União das freguesias de Franco e Vila Boa;11E040741;27;040741
Santa Catarina;16B100611;27;100611
Macinhata do Vouga;16D010112;27;010112
União das freguesias de Vila Cova de Alva e Anseriz;16E060122;27;060122
Mealhada;16E0111;27;6E0111
Samuel;16E061508;27;061508
Louriçal;16F101506;27;101506
São Vicente de Lafões;16G181009;27;181009
Pendilhe;16G182203;27;182203
Campo;16G182306;27;182306
Fragosela;16G182315;27;182315
Sarzedas;16H050223;27;050223
Moitas Venda;16I140207;27;140207
Fátima;16I142106;27;142106
Prova e Casteição;16J090918;27;090918
Rendo;16J091127;27;091127
Raposa;185140304;27;140304
Vale de Santarém;185141625;27;141625
Belver;186120902;27;120902
Gemieira;111160727;26;160727
União das freguesias de Marrancos e Arcozelo;112031364;26;031364
Vieira do Minho;119031120;26;031120
União das freguesias de Lobão, Gião, Louredo e Guisande;11A010934;26;010934
Bustelo;11B170305;26;170305
Covelo do Gerês;11B170607;26;170607
Loivos do Monte;11C130208;26;130208
Sanfins Lamoso Codessos;11C130919;26;130919
União das freguesias de Peva e Segões;11D180723;26;180723
União das freguesias de Vilarouco e Pereiros;11D181517;26;181517
Quintanilha;11E040232;26;040232
Santo Varão;16E061009;26;061009
União das freguesias de Santa Eufémia e Boa Vista;16F100939;26;100939
Monteiras;16G180314;26;180314
Nelas;16G180903;26;180903
Castelo de Penalva;16G181102;26;181102
Sezures;16G181111;26;181111
União das freguesias de Antas e Matela;16G181114;26;181114
Beco;16I141103;26;141103
Cortes do Meio;16J050308;26;050308
Ribamondego;16J090614;26;090614
União das freguesias de Figueiró da Serra e Freixo da Serra;16J090624;26;090624
Aldeia do Bispo;16J090703;26;090703
Alvendre;16J090705;26;090705
Santana da Azinha;16J090738;26;090738
Moreira de Rei;16J091312;26;091312
Vialonga;170111408;26;111408
Pontével;185140604;26;140604
Barbeita;111160404;25;160404
Cervães;112031309;25;031309
Vilas Boas;11B170347;25;170347
Sabroso de Aguiar;11B171317;25;171317
Sande e São Lourenço do Douro;11C130739;25;130739
Riodades;11D181507;25;181507
Freixo de Numão;11D091418;25;091418
Vila Marim;11D171429;25;171429
Roios;11E041009;25;041009
Seixo de Gatões;16E061010;25;061010
Castanheira de Pêra;16F1007;25;6F1007
União das freguesias de Castanheira de Pêra e Coentral;16F100703;25;100703
Arega;16F100802;25;100802
Pinheiro;16G180319;25;180319
Pinho;16G181609;25;181609
União das freguesias de Caparrosa e Silvares;16G182128;25;182128
Vila Cova à Coelheira;16G182206;25;182206
Almaceda;16H050202;25;050202
Carrapichana;16J090304;25;090304
Pínzio;16J091018;25;091018
Rebolosa;16J091126;25;091126
Guilheiro;16J091310;25;091310
União das freguesias de Charneca de Caparica e Sobreda;170150314;25;150314
Vila Franca de Xira;170111409;25;111409
Azinhaga;185141201;25;141201
Golegã;185141202;25;141202
Paderne;111160311;24;160311
União das freguesias de Ceivães e Badim;111160435;24;160435
Arcozelo;111160704;24;160704
União das freguesias de Covelo de Paivó e Janarde;11A010424;24;010424
Sapiãos;11B170215;24;170215
Curalha;11B170310;24;170310
União das freguesias de Loivos e Póvoa de Agrações;11B170357;24;170357
Cabril;11B170601;24;170601
Souto;11D181209;24;181209
Bemposta;11E040802;24;040802
União das freguesias de Curopos e Vale de Janeiro;11E041236;24;041236
União das freguesias de Tornada e Salir do Porto;16B100619;24;100619
Aguada de Cima;16D010103;24;010103
União das freguesias de Trofa, Segadães e Lamas do Vouga;16D010126;24;010126
União das freguesias de Figueiró dos Vinhos e Bairradas;16F100806;24;100806
Calde;16G182305;24;182305
Ranhados;16G182321;24;182321
Monsanto;16I140208;24;140208
Ferreira do Zêzere;16I141106;24;141106
Vila de Rei;16I0510;24;6I0510
Maceira;16J090509;24;090509
Vila Franca do Deão;16J090752;24;090752
Fráguas;185141405;24;141405
Monchique;150080903;24;080903
Vale;111160149;23;160149
Bela;111160406;23;160406
União das freguesias de Messegães, Valadares e Sá;111160437;23;160437
Vascões;111160521;23;160521
União das freguesias de Gandra e Taião;111160817;23;160817
Pinheiro;119031112;23;031112
Tropeço;11A010418;23;010418
Boticas e Granja;11B170219;23;170219
Gove;11C130206;23;130206
Castainço;11D181203;23;181203
União das freguesias de Tarouca e Dálvares;11D182013;23;182013
Cabeça Boa;11D040903;23;040903
União das freguesias de Felgueiras e Maçores;11D040920;23;040920
Mondrões;11D171416;23;171416
Cedães;11E040712;23;040712
Tó;11E040819;23;040819
Bárrio;16B100104;23;100104
União das freguesias de Beduído e Veiros;16D010808;23;010808
Poiares (Santo André);16E061703;23;061703
União das freguesias de Leiria, Pousos, Barreira e Cortes;16F100933;23;100933
Graça;16F101301;23;101301
Eirado;16G090106;23;090106
Ínsua;16G181105;23;181105
São Joaninho;16G181405;23;181405
União das freguesias de Barreiros e Cepões;16G182335;23;182335
Faíl e Vila Chã de Sá;16G182338;23;182338
Salgueiro do Campo;16H050220;23;050220
Oleiros-Amieira;16H050614;23;050614
Alcaide;16J050401;23;050401
Faia;16J090716;23;090716
Muge;185141503;23;141503
Póvoa da Isenta;185141616;23;141616
